ID,Term,Value,IO,Period,Source,Comment
RF,Rainfall,5,I,2010-2019,fettweis_2020,
CD,Condensation,5,I,2010-2019,fettweis_2020,
DP,Deposition,80,I,2010-2019,fettweis_2020,
SF,Snowfall,2775,I,2010-2019,fettweis_2020,
RFZ,Refreezing,105,-,2010-2019,fettweis_2020,
EV,Evaporation,5,O,2010-2019,fettweis_2020,
RU,Runoff,10,O,2010-2019,fettweis_2020,
SU,Sublimation,230,O,2010-2019,fettweis_2020,
BMB,Grounded basal melting,70,O,-,van-liefferinge_2013,
DISCH,Discharge,1935+331+77+2,O,2008-2019,davison_2023 (to shelves) + rignot_2019 (grounded + islands),
CALV,Calving,1411+331+77+1,O,2010-2019,greene_2022 + rignot_2019 discharge (grounded + islands),
FRONTMELT,Frontal melting,0,O,,,
SHELFMELT,Sub-shelf melting,1380,O,2010-2017,paolo_2023,
SHELFFREEZE,Sub-shelf Freeze-on,405,I,2010-2017,paolo_2023,
GZRET,Grounding line retreat,45,O,1997-2021,"davison_2023 (only Pine Island, Thwaites, Crosson, and Dotson)",
FRONTRET,Frontal retreat,400,O,2010-2021,greene_2022,
FRONTADV,Frontal advance,195,O,2010-2021,greene_2022,
