ID,Term,Value,IO,Period,Source,Comment
RF,Rainfall,5,I,2010-2019,fettweis_2020,
CD,Condensation,5,I,2010-2019,fettweis_2020,
DP,Deposition,40,I,2010-2019,fettweis_2020,
SF,Snowfall,1550+20,I,2010-2019,fettweis_2020,1550 + 30 % of 55 (Islands)
RFZ,Refreezing,40,IO,2010-2019,fettweis_2020,
EV,Evaporation,5,O,2010-2019,fettweis_2020,
RU,Runoff,5,O,2010-2019,fettweis_2020,
SU,Sublimation,175,O,2000-2019,fettweis_2020,
BMB,Grounded basal melting,45,O,-,van-liefferinge_2013,
DISCH,Discharge,924+177+23+1,-,,,
CALV,Calving,694+177-1,O,,greene_2022,
FRONTMELT,Submarine melting,0,,,,
SHELFMELT,Sub-shelf melting,515,O,2000-2017,paolo_2023,
SHELFFREEZE,Sub-shelf freeze-on,200,I,2000-2017,paolo_2023,
GZRET,Grounding line retreat,5,O,1997-2021,Davison (personal comm.),
FRONTRET,Frontal retreat,70,O,2000-2021,greene_2022,
FRONTADV,Frontal advance,190,O,2000-2021,greene_2022,
