ID,Term,Value,IO,Period,Source,Comment
RF,Rainfall,5,I,2010-2019,fettweis_2020,
CD,Condensation,5,I,2010-2019,fettweis_2020,
DP,Deposition,5,I,2010-2019,fettweis_2020,
SF,Snowfall,335+5,I,2010-2019,fettweis_2020,
RFZ,Refreezing,50,IO,2010-2019,fettweis_2020,
EV,Evaporation,5,O,2010-2019,fettweis_2020,
RU,Runoff,5,O,2010-2019,fettweis_2020,
SU,Sublimation,15,O,2000-2019,fettweis_2020,
BMB,Grounded basal melting,5,O,-,van-liefferinge_2013,
DISCH,Discharge,153+131+9-1,-,1997-2021; 1999-2017,Sum of SUB + ICE,See caption
CALV,Calving,104+131,O,,greene_2022 + rignot_2019 non-shelf,
FRONTMELT,Frontal melting,0,,,,
SHELFMELT,Sub-shelf melting,155,O,2000-2017,paolo_2023,
SHELFFREEZE,Sub-shelf freeze-on,10,I,2000-2017,paolo_2023,
GZRET,Grounding line retreat,5,O,1997-2021,Davison (personal comm.),
FRONTRET,Frontal retreat,125,O,2000-2021,greene_2022,
FRONTADV,Frontal advance,5,O,2000-2021,greene_2022,
